,keyphrase,keyphrase in _ plans
9337,net zero,168
308,climate change,160
3674,reduction,138
2813,reduce,123
12035,carbon emissions,101
8277,carbon neutral,101
4743,carbon footprint,98
3241,reduce emissions,95
7331,council,90
8593,paris agreement,87
7928,climate emergency,85
8529,council climate,82
3453,climate action,72
8974,enable,65
15395,transport,63
247,include,60
11424,footprint,59
5613,action plan,53
5961,tree planting,50
6634,council emissions,49
1603,plan,48
4420,reduce carbon,46
6913,emissions reduction,45
11527,council carbon,44
9218,change act,44
2634,borough council,43
14734,change strategy,43
461,measures,42
10000,change,42
7048,land use,42
5487,carbon reduction,42
4074,stakeholders,39
4379,renewable energy,38
5473,change action,37
8047,borough,37
15030,climate,35
3990,biodiversity,35
13179,energy,35
2178,uk climate,35
12606,carbon management,34
5521,cycling,34
4283,wellbeing,33
2116,offsetting,33
3850,change mitigation,32
13508,council buildings,32
12128,energy efficiency,32
7414,council recognises,32
3896,electric vehicle charging,31
5157,behaviour change,31
4472,tackling climate,31
11221,street lighting,30
5938,reductions,29
3388,reduction targets,29
8580,emergency declaration,27
4758,carbon,27
5156,emissions reductions,27
553,scottish government,26
5229,reduction target,26
15139,uk government,26
3208,uk,25
5377,council operations,25
6698,provide,24
9097,ity,23
3549,change emergency,23
1728,report,22
7068,mitigation,22
3323,uk emissions,22
2645,sustainable transport,22
5880,public transport,22
1579,emissions,22
8367,district council,22
14024,consumption,21
11339,sustainable development goals,21
11168,zero,21
11206,tackle climate,21
12618,sequestration,21
6574,national grid,20
14934,requirements,20
8939,sustainable development,20
2996,renewable energy generation,20
8285,provision,19
7188,improve air quality,19
4446,efficiency measures,19
4591,achieve carbon,19
1735,impact assessment,19
8886,council commitment,19
8501,dioxide equivalent,19
14779,change report,18
4699,enabling,18
332,addressing,18
1504,commits,18
5173,new developments,18
8586,sustainability,18
9749,limit,17
6289,reduce energy,17
7205,district heating,17
2717,circular economy,17
3930,emissions scope,17
6805,increase,17
5543,address climate,17
7573,councils,17
3707,consultation,17
5435,setting,17
13310,waste reduction,17
14322,electric vehicles,17
1477,natural capital,17
3028,green,17
3022,carbon council,17
6105,fuel poverty,17
9682,carbon neutrality,16
11330,solar panels,16
4722,define,16
15164,county council,16
13515,energy management,16
15200,waste management,16
11660,priority areas,16
13480,city council,16
3847,ev charging points,16
4513,management plan,16
6197,flood risk,16
6447,ensure,16
1478,air quality,16
6797,green infrastructure,15
14397,initiatives,15
8105,organisations,15
505,additional,15
1038,heating,15
9039,gas protocol,15
2886,may,15
566,definition,15
14616,commitments,15
2998,extreme weather,15
10694,active travel,15
8524,definitions,14
9699,consider,14
10356,welsh government,14
10765,scope emissions,14
495,carbon budgets,14
322,electricity grid,14
12372,impacts,14
8892,pathways,14
14785,gas emissions,14
4516,council activities,14
2648,road transport,14
15127,change programme,14
15626,heating systems,14
15322,emergency strategy,14
10142,executive summary,14
746,council housing,14
380,paris climate,14
6680,local transport plan,14
14966,land management,13
8334,borough emissions,13
189,building regulations,13
13308,build,13
12798,electricity,13
1214,reduction measures,13
6058,waste,13
12836,energy projects,13
3019,charging points,13
12350,change climate,13
5784,public consultation,13
11961,delivering,13
4000,raise awareness,13
10651,tonnes carbon dioxide,12
10478,uk economy,12
442,sustainable energy,12
15288,change agenda,12
8118,transition,12
3631,carbon savings,12
4125,action plans,12
11123,local plan,12
6597,business mileage,12
14661,priority actions,12
6279,priority,12
10141,local ity,12
5621,neutrality,12
13254,local development plan,12
8678,emergency action,12
1501,next steps,12
3191,energy strategy,12
5657,heat pumps,12
5708,tonnes,12
11646,transport emissions,12
14070,energy bills,12
5399,climate resilience,12
6504,wildlife,12
