,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
   ,   ,  xc,   xc,xc  ,zero  ,  tonne,figure  ,page  ,appendix  ,  action,action  ,action plan,net zero,energy  ,  energy,change  ,council  ,  council,target  ,  target,  year,year  ,  work,  scope,scope  ,green space,section  ,emergency action,plan  ,strategy  ,  carbon,long term,reduction  ,  reduction,  emission,emission  ,building  ,  support,management plan,council building,emission council,public sector,local authority,electric vehicle,council carbon,march  ,natural environment,zero emission,greenhouse gas,strategy action,city council,zero carbon,council climate,  climate,work partner,district council,energy efficient,carbon dioxide,transport  ,  increase,borough council,air quality,land use,gas emission,energy use,reduction target,energy efficiency,fuel poverty,county council,climate emergency,carbon budget,public transport,carbon neutral,local plan,ghg emission,carbon neutrality,change strategy,active travel,change action,climate change,change climate,low carbon,fossil fuel,carbon emission,global warming,carbon footprint,renewable energy,achieve net,emission reduction,sustainable development,carbon management,  reduce,climate action,carbon reduction,reduce energy,declare climate,impact climate,reduce carbon,reduce emission,tackle climate
   xc,xc  ,   xc,  xc,   ,  tonne,zero  ,net zero,council carbon,page  ,  carbon,emission council,appendix  ,section  ,year  ,  year,zero carbon,action plan,green space,local authority,  target,target  ,  council,council  ,electric vehicle,figure  ,zero emission,  emission,emission  ,greenhouse gas,carbon dioxide,council building,scope  ,  scope,carbon neutral,energy  ,  energy,ghg emission,carbon neutrality,district council,management plan,borough council,gas emission,low carbon,carbon emission,council climate,emergency action,county council,fossil fuel,public sector,energy efficient,carbon management,carbon budget,plan  ,energy use,carbon footprint,city council,energy efficiency,air quality,work partner,long term,achieve net,local plan,climate emergency,change  ,emission reduction,reduction target,renewable energy,fuel poverty,building  ,natural environment,transport  ,reduction  ,  reduction,public transport,strategy  ,  action,action  ,  increase,carbon reduction,  work,  climate,  support,march  ,climate change,land use,global warming,active travel,strategy action,change climate,reduce carbon,sustainable development,  reduce,change strategy,reduce energy,change action,climate action,declare climate,reduce emission,impact climate,tackle climate
  action,  action,action  ,strategy action,emergency action,action plan,strategy  ,change action,figure  ,change strategy,  work,  support,   ,target  ,  target,plan  ,reduction  ,  reduction,  energy,energy  ,change  ,  scope,scope  ,management plan,march  ,active travel,transport  ,land use,reduction target,energy use,long term,  reduce,section  ,local plan,  increase,appendix  ,emission  ,  emission,reduce energy,achieve net,public sector,zero  ,net zero,  tonne,building  ,energy efficiency,energy efficient,natural environment,local authority,council climate,  council,council  ,sustainable development,public transport,climate action,page  ,emission council,zero emission,electric vehicle,work partner,air quality,carbon budget,fuel poverty,emission reduction,gas emission,change climate,  climate,district council,carbon management,tackle climate,xc  ,  xc,   xc,declare climate,reduce emission,  carbon,climate emergency,ghg emission,council building,green space,carbon reduction,climate change,greenhouse gas,carbon neutrality,council carbon,year  ,  year,city council,renewable energy,impact climate,carbon dioxide,global warming,reduce carbon,borough council,zero carbon,carbon neutral,carbon emission,carbon footprint,low carbon,fossil fuel,county council
  carbon,  carbon,carbon neutral,zero carbon,carbon neutrality,carbon dioxide,carbon emission,low carbon,carbon management,carbon reduction,carbon footprint,greenhouse gas,fossil fuel,gas emission,reduce carbon,renewable energy,emission reduction,ghg emission,  emission,emission  ,council carbon,carbon budget,zero emission,energy use,emission council,energy efficiency,electric vehicle,natural environment,fuel poverty,reduction target,reduce emission,energy efficient,  energy,energy  ,net zero,climate action,climate change,climate emergency,green space,zero  ,appendix  ,reduce energy,  tonne,reduction  ,  reduction,   xc,xc  ,  xc,global warming,council climate,  climate,change climate,   ,sustainable development,air quality,target  ,  target,impact climate,public sector,land use,figure  ,section  ,transport  ,scope  ,  scope,management plan,page  ,emergency action,action plan,  reduce,tackle climate,declare climate,achieve net,change  ,long term,active travel,public transport,local authority,  work,year  ,  year,  increase,building  ,local plan,work partner,strategy  ,change strategy,borough council,action  ,  action,  support,council building,plan  ,change action,district council,strategy action,council  ,  council,county council,city council,march  
  climate,  climate,climate emergency,climate action,change climate,climate change,impact climate,council climate,global warming,air quality,natural environment,tackle climate,carbon dioxide,greenhouse gas,declare climate,ghg emission,carbon emission,low carbon,gas emission,carbon footprint,carbon neutral,carbon management,emission  ,  emission,carbon reduction,carbon neutrality,renewable energy,zero carbon,energy efficient,energy efficiency,energy use,  carbon,emission reduction,fuel poverty,energy  ,  energy,zero emission,fossil fuel,carbon budget,reduce carbon,sustainable development,green space,emission council,active travel,change  ,   ,reduce energy,emergency action,reduce emission,land use,transport  ,electric vehicle,long term,council carbon,year  ,  year,reduction  ,  reduction,public sector,reduction target,net zero,  tonne,public transport,zero  ,  action,action  ,appendix  ,change strategy,action plan,  increase,building  ,  xc,   xc,xc  ,strategy  ,local plan,march  ,  support,strategy action,  scope,scope  ,  reduce,  target,target  ,change action,management plan,council building,figure  ,local authority,council  ,  council,achieve net,  work,plan  ,borough council,city council,page  ,county council,district council,section  ,work partner
  council,council  ,  council,council building,city council,district council,council carbon,borough council,county council,emission council,local authority,council climate,   ,management plan,action plan,march  ,public sector,section  ,emergency action,  tonne,   xc,  xc,xc  ,local plan,appendix  ,page  ,figure  ,plan  ,  support,scope  ,  scope,building  ,work partner,zero  ,action  ,  action,strategy  ,  work,strategy action,net zero,energy  ,  energy,  target,target  ,public transport,green space,transport  ,carbon budget,electric vehicle,change  ,climate emergency,emission  ,  emission,fuel poverty,long term,year  ,  year,  carbon,zero carbon,zero emission,greenhouse gas,air quality,  climate,declare climate,  reduction,reduction  ,achieve net,land use,carbon neutrality,carbon dioxide,ghg emission,natural environment,change action,change strategy,climate action,climate change,sustainable development,gas emission,carbon management,energy efficiency,energy efficient,carbon neutral,active travel,global warming,change climate,energy use,  increase,reduction target,carbon footprint,fossil fuel,  reduce,low carbon,renewable energy,carbon emission,emission reduction,carbon reduction,impact climate,tackle climate,reduce energy,reduce carbon,reduce emission
  emission,  emission,emission  ,gas emission,emission reduction,zero emission,carbon emission,ghg emission,emission council,greenhouse gas,carbon dioxide,carbon neutrality,reduce emission,zero carbon,carbon neutral,carbon reduction,  carbon,low carbon,carbon management,reduction target,  reduction,reduction  ,energy use,renewable energy,climate action,energy efficiency,air quality,energy  ,  energy,fossil fuel,electric vehicle,net zero,climate emergency,carbon footprint,reduce energy,climate change,impact climate,reduce carbon,global warming,change climate,zero  ,emergency action,  climate,council climate,fuel poverty,active travel,energy efficient,  target,target  ,carbon budget,natural environment,council carbon,transport  ,green space,   ,scope  ,  scope,  increase,  tonne,appendix  ,public sector,  reduce,change  ,sustainable development,action  ,  action,achieve net,  xc,xc  ,   xc,public transport,figure  ,declare climate,action plan,tackle climate,management plan,strategy  ,strategy action,change action,change strategy,section  ,long term,  support,  work,land use,page  ,building  ,local authority,march  ,  council,council  ,council building,borough council,plan  ,  year,year  ,city council,local plan,district council,work partner,county council
  energy,  energy,energy  ,energy use,energy efficient,energy efficiency,renewable energy,reduce energy,gas emission,emission  ,  emission,green space,carbon dioxide,fossil fuel,zero emission,air quality,  carbon,greenhouse gas,electric vehicle,fuel poverty,net zero,active travel,zero carbon,carbon budget,   ,ghg emission,natural environment,action  ,  action,transport  ,low carbon,  tonne,carbon emission,zero  ,figure  ,emission reduction,carbon management,carbon neutral,carbon neutrality,  climate,  scope,scope  ,  support,long term,carbon footprint,emergency action,land use,sustainable development,strategy  ,climate action,  target,target  ,reduction  ,  reduction,global warming,emission council,  work,carbon reduction,reduction target,council climate,public sector,climate emergency,appendix  ,achieve net,strategy action,  increase,public transport,action plan,building  ,climate change,change climate,change  ,council carbon,xc  ,   xc,  xc,reduce emission,reduce carbon,management plan,impact climate,plan  ,march  ,page  ,change strategy,local authority,change action,section  ,council  ,  council,local plan,council building,  reduce,work partner,tackle climate,declare climate,  year,year  ,city council,borough council,district council,county council
  increase,  increase,  reduce,  reduction,reduction  ,change  ,reduce energy,reduction target,change action,change strategy,reduce emission,reduce carbon,achieve net,emission reduction,change climate,carbon reduction,emergency action,long term,  scope,scope  ,emission  ,  emission,appendix  ,ghg emission,  energy,energy  ,global warming,sustainable development,energy efficiency,action  ,  action,net zero,energy use,tackle climate,   ,climate change,zero  ,figure  ,march  ,action plan,management plan,energy efficient,zero emission,active travel,low carbon,building  ,  support,section  ,carbon budget,impact climate,plan  ,greenhouse gas,target  ,  target,gas emission,strategy action,  tonne,carbon management,fuel poverty,carbon dioxide,declare climate,climate action,carbon emission,renewable energy,zero carbon,carbon footprint,natural environment,air quality,  work,  carbon,land use,climate emergency,transport  ,carbon neutral,strategy  ,  climate,carbon neutrality,green space,emission council,  xc,   xc,xc  ,  year,year  ,fossil fuel,page  ,public sector,local plan,council climate,council building,council carbon,electric vehicle,district council,local authority,public transport,  council,council  ,city council,borough council,county council,work partner
  reduce,  reduce,reduce energy,  reduction,reduction  ,reduce emission,change action,reduce carbon,  increase,reduction target,change strategy,tackle climate,change  ,achieve net,emission reduction,carbon reduction,declare climate,change climate,scope  ,  scope,  target,target  ,figure  ,emergency action,plan  ,emission  ,  emission,action  ,  action,impact climate,action plan,carbon management,carbon neutrality,appendix  ,ghg emission,zero emission,carbon neutral,low carbon,section  ,net zero,management plan,  carbon,zero carbon,strategy action,carbon emission,climate change,  support,greenhouse gas,transport  ,  work,carbon dioxide,carbon footprint,climate action,zero  ,energy use,march  ,sustainable development,energy efficiency,carbon budget,gas emission,emission council,global warming,   ,energy efficient,long term,strategy  ,  energy,energy  ,climate emergency,air quality,council climate,local plan,  tonne,natural environment,page  ,renewable energy,  climate,fuel poverty,active travel,fossil fuel,land use,building  ,council carbon,   xc,xc  ,  xc,green space,public sector,work partner,council building,electric vehicle,district council,public transport,  council,council  ,  year,year  ,local authority,borough council,city council,county council
