"('climate action', 0.4775)","('new council energy', 0.4213)","('sustainable development goals', 0.3887)","('national adaptation programme', 0.3476)","('improvement plan', 0.2898)","('aberdeen city', 0.2437)","('routemap supports', 0.1999)","('resilient', 0.1856)","('legal framework', 0.1815)","('seismic shift', 0.0527)"
"('strategy council', 0.4443)","('local development plan', 0.4357)","('energy climate', 0.378)","('local transport', 0.2687)","('aberdeen adapts', 0.2484)","('phases', 0.2276)","('property asset', 0.2229)","('include', 0.2003)","('setting process', 0.174)","('define', 0.1075)"
"('statutory climate change', 0.4843)","('scottish government', 0.4324)","('thematic groups', 0.3364)","('property refurbishment', 0.2478)","('hydrogen projects', 0.2387)","('financial options', 0.2332)","('external support', 0.228)","('phase measure', 0.1367)","('active travel', 0.1347)","('review', 0.0981)"
"('sustainable procurement', 0.4701)","('climate commitments', 0.4561)","('project delivery', 0.4402)","('energy company', 0.4028)","('scottish government', 0.3445)","('thematic groups', 0.343)","('outlined', 0.241)","('option potential', 0.2031)","('competencies', 0.173)","('immediate control', 0.1157)"
"('buildings energy', 0.5926)","('green infrastructure', 0.5213)","('efficiency opportunities', 0.4174)","('council', 0.336)","('climate adaptation', 0.3017)","('inevitable requirement', 0.2611)","('reduce', 0.2312)","('employee outwards', 0.2163)","('explore options', 0.1954)","('hydrogen vans', 0.1602)"
"('smart city lighting', 0.541)","('emissions reduction', 0.5234)","('energy use', 0.4356)","('active travel options', 0.3765)","('recycling climate', 0.3093)","('footprint', 0.3058)","('other operations', 0.2656)","('circular economy principles', 0.2461)","('food collections', 0.1371)","('pool car', 0.1364)"
"('green infrastructure', 0.6211)","('wildlife areas', 0.44)","('resilient species', 0.4158)","('woodland cover', 0.4007)","('climate', 0.3838)","('flood alleviation', 0.3736)","('benefits', 0.2906)","('carbon dioxide', 0.251)","('manage', 0.169)","('critical spaces', 0.0666)"
"('aberdeen adapts climate', 0.6268)","('adaptation framework', 0.422)","('sustainable development goals', 0.4067)","('city resilience', 0.3967)","('utilities', 0.3924)","('natural environment space', 0.3477)","('heat network', 0.2205)","('hydrogen transport', 0.1695)","('acknowledgements', 0.1373)","('seaton wetland', 0.1169)"
"('aberdeen adapts climate', 0.6079)","('urgent climate action', 0.5141)","('stakeholder workshops', 0.3984)","('build resilience', 0.3916)","('flood management', 0.3853)","('sustainable development goals', 0.3706)","('local public', 0.3043)","('adaptation actions', 0.2628)","('application process', 0.1636)","('wider views', 0.0638)"
"('aberdeen adapts climate', 0.6963)","('sustainable energy action', 0.4345)","('scottish government', 0.3795)","('catchment partnership', 0.3413)","('biodiversity centre', 0.306)","('adaptation framework', 0.2875)","('milltimber community', 0.1863)","('carbon', 0.1662)","('significant effects', 0.1077)","('several student placements', 0.065)"
"('aberdeen adapts climate', 0.5991)","('environmental improvements', 0.4051)","('flood alleviation', 0.378)","('adaptation framework', 0.3497)","('annual damages', 0.2848)","('risk assessment', 0.2821)","('energy costs', 0.2745)","('access funding', 0.2586)","('business continuity', 0.2072)","('build', 0.1788)"
"('aberdeen adapts climate', 0.7041)","('adaptation framework', 0.4251)","('city resilience', 0.4064)","('flooding flooding', 0.3767)","('development plan', 0.3041)","('local transport strategies', 0.2893)","('reduce emissions', 0.2526)","('uk growth', 0.2234)","('variable conditions', 0.1495)","('frost days', 0.1063)"
"('flood prevention', 0.5178)","('coastal properties', 0.4611)","('variable weather', 0.3774)","('building performance', 0.3436)","('aberdeen', 0.314)","('major disruptions', 0.2175)","('energy transport', 0.1649)","('natural process', 0.1172)","('ict network', 0.1018)","('insurance costs', 0.0596)"
"('aberdeen adapts climate', 0.6275)","('marine environment', 0.4954)","('climate risks', 0.4499)","('ecological balance', 0.4162)","('fish', 0.2912)","('transport network', 0.2061)","('identity flooding', 0.1697)","('other pressures', 0.1143)","('insurance costs', 0.0786)","('regardless', 0.0061)"
"('aberdeen adapts climate', 0.6417)","('reduce energy', 0.3692)","('tree health', 0.3049)","('food production', 0.2962)","('adaptation framework', 0.2936)","('water cycle', 0.226)","('existing pests', 0.211)","('store carbon', 0.1997)","('power distribution', 0.1661)","('cause', 0.0884)"
"('aberdeen adapts climate', 0.5798)","('city resilience', 0.4935)","('unique projects', 0.3789)","('stakeholder input', 0.3731)","('natural environment', 0.3433)","('long term priorities', 0.3214)","('support adaptation', 0.3139)","('key overarching principles', 0.1905)","('exchange', 0.1323)","('co ordinate', 0.1105)"
"('council climate', 0.5724)","('building programme', 0.3707)","('aberdeen city part', 0.3384)","('national government policies', 0.3304)","('energy systems', 0.2679)","('net zero', 0.2434)","('interim targets', 0.2265)","('reduction jenny', 0.1683)","('change actions', 0.1609)","('resilient', 0.1426)"
"('council climate', 0.5416)","('sustainable development goals', 0.4797)","('emissions scope', 0.4655)","('strategic infrastructure plan', 0.4066)","('reduction tonnes', 0.3058)","('key milestones', 0.2637)","('street lighting', 0.2028)","('supporting', 0.1396)","('retrofit pilot', 0.1231)","('account changes', 0.1048)"
"('council climate', 0.5131)","('scottish government', 0.3688)","('build programme', 0.356)","('whole carbon footprint', 0.3541)","('risk management', 0.2878)","('energy solutions', 0.2849)","('additional actions', 0.242)","('continuous review', 0.1951)","('compostable consumables', 0.1745)","('pets corner', 0.1011)"
"('hydrogen council', 0.5263)","('new council houses', 0.5001)","('electric vehicle', 0.4202)","('manor walk', 0.4111)","('building programme', 0.3642)","('green roofs', 0.3514)","('efficiency ratings', 0.3149)","('staff mileage', 0.3054)","('pool bikes', 0.2291)","('biodiversity', 0.1507)"
"('council climate', 0.512)","('carbon programme', 0.4915)","('green infrastructure networks', 0.345)","('programme support', 0.331)","('site energy', 0.2958)","('scottish government', 0.2706)","('electric vehicles replacement', 0.2474)","('change report', 0.2384)","('plan context', 0.2214)","('fleet review', 0.1895)"
"('scottish government target', 0.5259)","('climate action', 0.5255)","('interim reduction targets', 0.4458)","('change act', 0.381)","('paris agreement', 0.3675)","('greenhouse gases', 0.3279)","('development goal', 0.2958)","('spending plans', 0.289)","('copis', 0.1778)","('net zero', 0.1278)"
"('energy cities', 0.5377)","('focused uk', 0.3476)","('climate', 0.3348)","('aberdeen april', 0.3139)","('technologies redefine', 0.229)","('exporter', 0.2231)","('pivotal role', 0.2198)","('epicentre', 0.1808)","('competitive means', 0.155)","('fact', 0.1219)"
"('global energy transition', 0.4671)","('foremost energy cities', 0.4327)","('national infrastructure', 0.3923)","('aberdeen', 0.3596)","('decisive partnership', 0.3259)","('context climate', 0.3119)","('profound risk', 0.2274)","('unique potential', 0.2042)","('carbon', 0.2042)","('become', 0.1776)"
"('carbon goals', 0.4913)","('urbanisation', 0.381)","('international energy industries', 0.3806)","('urgent transition agenda', 0.3706)","('aberdeen', 0.3672)","('priority climate', 0.3642)","('green hydrogen', 0.2767)","('net zero', 0.2254)","('export', 0.2072)","('investment case', 0.2006)"
"('energy city', 0.5695)","('hydrogen production', 0.3886)","('alternative development levers', 0.3167)","('extraordinary ecosystem', 0.2757)","('investment', 0.2689)","('chain organisations', 0.2579)","('export', 0.2442)","('offshore wind', 0.1876)","('decommissioning', 0.1874)","('international scale', 0.1819)"
"('energy sector', 0.5204)","('aberdeen climate', 0.463)","('scottish governments', 0.448)","('bold investment programme', 0.3233)","('operational homes', 0.2803)","('transition imperative', 0.2404)","('carbon capture', 0.1833)","('paris agreement', 0.1826)","('local outcome improvement', 0.147)","('generate', 0.146)"
"('national energy strategy', 0.5037)","('aberdeen', 0.3745)","('other sectors', 0.3217)","('top level credit', 0.2429)","('climate', 0.2261)","('futures performance', 0.2191)","('transition', 0.1964)","('export', 0.1563)","('catalyse', 0.1543)","('hydrogen distribution', 0.0625)"
"('energy storage', 0.4983)","('aberdeen', 0.3742)","('natural gas transport', 0.3623)","('new oil fields', 0.3264)","('wind deployment', 0.3071)","('hydrogen distribution', 0.2753)","('transition production', 0.2539)","('subsea engineering', 0.2446)","('future flagship activities', 0.1916)","('decarbonisation hub', 0.1183)"
"('aberdeen city', 0.4483)","('solution centre', 0.4474)","('stakeholder proposal', 0.4467)","('infrastructure', 0.4323)","('net zero', 0.3223)","('geographic benefits', 0.3016)","('gas technology', 0.2373)","('investment portfolio', 0.2172)","('energy transition', 0.1869)","('decommissioning', 0.1461)"
"('councils carbon', 0.572)","('neutral plan aecom', 0.3395)","('energy audits', 0.3316)","('consultant revision', 0.2648)","('worthing', 0.2482)","('modelling methodology', 0.1658)","('next steps', 0.1559)","('final matthew turner', 0.137)","('target december', 0.1171)","('summary backilogramround', 0.0518)"
"('emissions reporting', 0.6418)","('councils baseline', 0.3506)","('scope scope', 0.347)","('water consumption', 0.2631)","('car mileage', 0.2541)","('external use categories', 0.2332)","('reduction', 0.1942)","('leisure centre', 0.1495)","('standard benchmarks', 0.1404)","('pledge guidance', 0.1328)"
"('councils emissions', 0.6717)","('reduce mileage', 0.3454)","('intervention measures', 0.3226)","('hybrid vehicles diesel', 0.2936)","('splashpoint electricity', 0.2636)","('figure scope', 0.2554)","('leisure centre', 0.255)","('include', 0.1963)","('grid decarbonisation', 0.1029)","('key issues', 0.0487)"
"('carbon emissions', 0.5877)","('renewable electricity generation', 0.4403)","('energy audits', 0.4372)","('demand reduction', 0.4284)","('efficiency measures', 0.3983)","('land management', 0.3342)","('grid decarbonisation', 0.2466)","('optimistic assessment', 0.1737)","('neutral plan aecom', 0.1494)","('enable', 0.0197)"
"('councils carbon', 0.5586)","('energy demands', 0.4605)","('renewable electricity generation', 0.3959)","('priority areas', 0.352)","('reduce', 0.2586)","('vehicle use', 0.2336)","('fabric efficiency', 0.2231)","('grid decarbonisation', 0.1804)","('adur', 0.1245)","('aecom table', 0.0869)"
"('councils carbon', 0.6026)","('renewable energy generation', 0.3689)","('net zero', 0.2386)","('neutral ambition', 0.2363)","('emergency declaration', 0.2038)","('decarbonisation target', 0.2027)","('significant interventions', 0.1965)","('study aecom', 0.1235)","('adur', 0.1088)","('own building stock', 0.0967)"
"('climate action', 0.5072)","('biodiversity', 0.4095)","('councils', 0.3775)","('mitigation', 0.3471)","('aims', 0.3406)","('building partnerships', 0.3388)","('footprint', 0.3126)","('energy', 0.2975)","('positive changes', 0.2262)","('worthing', 0.1993)"
"('local nature reserve', 0.6133)","('sussex wildlife', 0.5237)","('flood management', 0.3713)","('more wildflowers', 0.3607)","('adur cluster', 0.329)","('friendly projects', 0.3087)","('worthing manage', 0.3013)","('shoreham', 0.2958)","('provide', 0.1763)","('drastic change', 0.1161)"
"('climate resilience', 0.544)","('natural flood management', 0.4525)","('local community organisations', 0.4282)","('sustainableaw', 0.379)","('upgrades infrastructure', 0.3296)","('more trees', 0.325)","('small scale suds', 0.2449)","('provide', 0.2244)","('coronavirus', 0.2067)","('port sea', 0.1876)"
"('carbon footprint', 0.5528)","('local energy advice', 0.4014)","('nhs scheme', 0.3152)","('reduction measures', 0.2934)","('open houses', 0.2924)","('community collaborations', 0.2763)","('farming practices', 0.243)","('worthing', 0.1888)","('next educate', 0.1688)","('plots', 0.1582)"
"('carbon footprint', 0.5389)","('local energy advice', 0.4464)","('eco port', 0.3711)","('solar photovoltaic', 0.3437)","('leisure community', 0.3234)","('net zero', 0.2934)","('industrial buildings', 0.2874)","('power council', 0.2853)","('sussex county', 0.2776)","('seasonal food produce', 0.1658)"
"('renewable energy', 0.5429)","('solar schools programme', 0.4916)","('southern water utility', 0.4528)","('management projects', 0.3736)","('efficient services programmes', 0.369)","('sussex flow', 0.3196)","('small scale habitat', 0.262)","('cooking options', 0.1976)","('home insulation', 0.1951)","('paris agreement', 0.1694)"
"('water saving', 0.5324)","('urban drainage systems', 0.5149)","('annual monitoring beach', 0.4954)","('environments', 0.3473)","('measures', 0.3208)","('associated carbon emissions', 0.3016)","('cycling provision', 0.2918)","('litter picks', 0.2783)","('providing', 0.219)","('borough council', 0.2084)"
"('cycling plan', 0.4964)","('ev community', 0.4252)","('infrastructure needs', 0.3379)","('transport group', 0.3373)","('western sussex hospitals', 0.2794)","('charitable organisation', 0.2739)","('air pollution', 0.2542)","('free park', 0.2426)","('share schemes', 0.1662)","('reduce', 0.1595)"
